time,linear.velocity.x,linear.velocity.y,linear.velocity.z,angular.velocity.x,angular.velocity.y,angular.velocity.z,gps.latitude,gps.longitude,gps.height,gps.health
23.170324,0.000503,0.001473,0.021791,-0.001642,0.001068,0.001771,0.000000,0.000000,37.464859,0
23.175026,0.000492,0.001493,0.021445,-0.001838,0.007301,-0.000425,0.000000,0.000000,37.465797,0
23.190901,0.000634,0.001459,0.021676,-0.000348,0.001014,0.004471,0.000000,0.000000,37.464203,0
23.213330,0.000668,0.001510,0.021626,0.002307,0.001892,-0.001530,0.000000,0.000000,37.461819,0
23.234290,0.000633,0.001421,0.021692,0.001378,0.001189,-0.001651,0.000000,0.000000,37.458851,0
23.253460,0.000497,0.001099,0.021446,-0.005631,-0.000249,-0.001249,0.000000,0.000000,37.457851,0
23.275388,0.000443,0.000844,0.021179,0.001590,0.003400,-0.002024,0.000000,0.000000,37.457958,0
23.293836,0.000618,0.000839,0.020931,0.001635,0.003581,-0.000384,0.000000,0.000000,37.458858,0
23.313491,0.000968,0.000941,0.020761,0.002061,-0.003642,0.000103,0.000000,0.000000,37.459217,0
23.333617,0.000596,0.000859,0.020753,0.001031,0.000303,-0.001489,0.000000,0.000000,37.458881,0
23.353623,0.000352,0.000868,0.020890,-0.000228,-0.006156,0.002802,0.000000,0.000000,37.459141,0
23.374874,0.000330,0.000960,0.020660,-0.001212,-0.000959,-0.002325,0.000000,0.000000,37.459648,0
23.393855,0.000330,0.000991,0.020297,-0.001579,-0.001906,-0.002862,0.000000,0.000000,37.459743,0
23.414012,0.000264,0.000912,0.020437,0.000422,-0.003516,-0.001153,0.000000,0.000000,37.459785,0
23.433162,0.000142,0.000753,0.020802,-0.001218,0.002430,0.001148,0.000000,0.000000,37.459351,0
23.453098,-0.000049,0.000867,0.020816,-0.001660,0.004594,0.004565,0.000000,0.000000,37.458904,0
23.476184,0.000179,0.001152,0.021036,0.004273,-0.002806,-0.003187,0.000000,0.000000,37.458210,0
23.493505,0.000552,0.000935,0.021062,0.002042,-0.002368,0.003054,0.000000,0.000000,37.457005,0
23.513513,0.000507,0.000586,0.020853,-0.000106,0.002272,-0.000656,0.000000,0.000000,37.454971,0
23.534234,0.000321,0.000670,0.020769,-0.002664,0.006327,-0.001475,0.000000,0.000000,37.452850,0
23.552568,0.000495,0.000960,0.020471,0.003082,-0.000489,-0.001189,0.000000,0.000000,37.449814,0
23.577273,0.000597,0.001126,0.019718,0.000842,-0.000049,-0.006362,0.000000,0.000000,37.448009,0
23.593829,0.000530,0.001141,0.019430,-0.001476,-0.003557,-0.001090,0.000000,0.000000,37.447594,0
23.613522,0.000511,0.000937,0.019277,0.000343,-0.003671,-0.000815,0.000000,0.000000,37.447674,0
23.633775,0.000689,0.000832,0.019008,0.002082,-0.003650,0.000279,0.000000,0.000000,37.448662,0
23.653162,0.000710,0.001048,0.019175,-0.003621,0.003507,-0.004972,0.000000,0.000000,37.449154,0
23.675707,0.000640,0.001262,0.019352,-0.001948,0.001262,0.001714,0.000000,0.000000,37.449440,0
23.693839,0.000631,0.001099,0.019237,0.001724,-0.003498,-0.000875,0.000000,0.000000,37.450245,0
23.714600,0.000560,0.001056,0.019296,0.002320,-0.005918,-0.002815,0.000000,0.000000,37.450390,0
23.732976,0.000546,0.001280,0.019468,-0.000950,-0.003139,-0.000390,0.000000,0.000000,37.449970,0
23.752956,0.000410,0.001304,0.019199,-0.001768,0.000101,-0.002370,0.000000,0.000000,37.449627,0
23.774299,0.000172,0.001243,0.018993,-0.002630,-0.001449,0.000032,0.000000,0.000000,37.450317,0
23.798234,0.000055,0.001378,0.019152,-0.002030,-0.003939,-0.001974,0.000000,0.000000,37.451366,0
23.813780,0.000168,0.001514,0.019092,-0.003266,0.000817,0.000021,0.000000,0.000000,37.451637,0
23.833110,0.000210,0.001659,0.019002,-0.000242,0.002757,0.001829,0.000000,0.000000,37.450859,0
23.853509,0.000329,0.001595,0.019232,-0.000565,0.001672,0.002014,0.000000,0.000000,37.448860,0
23.874397,0.000351,0.001461,0.019285,-0.001554,-0.003567,-0.004502,0.000000,0.000000,37.447697,0
23.893235,0.000150,0.001515,0.019012,0.003236,0.000088,-0.000047,0.000000,0.000000,37.446823,0
23.913198,-0.000813,0.001485,0.018910,0.000318,0.007029,0.001891,0.000000,0.000000,37.445099,0
23.932849,-0.001357,0.001382,0.019028,-0.001307,0.003129,0.000198,0.000000,0.000000,37.443195,0
23.953256,0.001780,0.001427,0.018348,-0.000127,-0.008350,-0.007921,0.000000,0.000000,37.441360,0
23.974148,0.003570,0.000650,0.017769,0.000508,0.005088,-0.003898,0.000000,0.000000,37.441036,0
23.993049,0.000427,0.000776,0.018619,-0.000191,0.000411,0.003458,0.000000,0.000000,37.442261,0
24.012927,-0.002108,0.002265,0.018475,0.007776,0.009776,0.000559,0.000000,0.000000,37.442905,0
24.033067,-0.001095,0.002231,0.016846,0.004508,0.011251,-0.004922,0.000000,0.000000,37.443768,0
24.052854,0.000531,0.000952,0.017880,0.008763,0.013369,-0.001837,0.000000,0.000000,37.444626,0
24.074426,0.001423,0.000177,0.018713,-0.000999,0.001592,-0.005478,0.000000,0.000000,37.444344,0
24.092930,0.002300,-0.000021,0.016452,-0.011542,-0.011402,-0.001937,0.000000,0.000000,37.444546,0
24.112935,0.001682,0.000645,0.016688,-0.004546,-0.013322,-0.001872,0.000000,0.000000,37.445301,0
24.133048,0.000193,0.001545,0.018477,0.003743,0.007137,0.001755,0.000000,0.000000,37.446186,0
24.153097,0.000370,0.001722,0.016665,-0.010820,-0.015848,-0.002002,0.000000,0.000000,37.446266,0
24.174290,0.001610,0.001665,0.016154,-0.015697,-0.015901,0.002303,0.000000,0.000000,37.447208,0
24.193534,0.001808,0.001636,0.018671,0.010707,0.017333,-0.006946,0.000000,0.000000,37.447872,0
24.212988,0.001861,0.001694,0.017969,-0.011584,-0.013290,-0.002976,0.000000,0.000000,37.447865,0
24.233068,0.001990,0.001924,0.016458,0.009813,0.004350,-0.000144,0.000000,0.000000,37.447540,0
24.252877,0.001925,0.002258,0.018612,-0.013056,-0.022385,-0.003880,0.000000,0.000000,37.446568,0
24.275886,0.002086,0.002145,0.019237,-0.010230,0.004364,0.002639,0.000000,0.000000,37.446522,0
24.293014,0.001615,0.002057,0.017686,0.007601,-0.013952,-0.001847,0.000000,0.000000,37.445400,0
24.312935,0.001283,0.002407,0.018843,0.008362,0.013828,-0.001011,0.000000,0.000000,37.443661,0
24.332905,0.002907,0.002605,0.019897,-0.011793,0.003391,0.002096,0.000000,0.000000,37.443375,0
24.352904,0.004055,0.002500,0.018364,0.012944,0.002605,0.000788,0.000000,0.000000,37.444065,0
24.375970,0.002597,0.002766,0.018838,0.012396,-0.011040,-0.001327,0.000000,0.000000,37.445663,0
24.393131,0.002059,0.002942,0.020686,0.015580,0.001523,-0.001098,0.000000,0.000000,37.448986,0
24.412940,0.003826,0.002895,0.020320,-0.017026,0.002490,0.002503,0.000000,0.000000,37.451931,0
24.432865,0.004211,0.002750,0.020371,-0.012086,-0.006127,-0.001813,0.000000,0.000000,37.452568,0
24.452874,0.003046,0.002793,0.022183,0.013457,0.001023,-0.003045,0.000000,0.000000,37.452965,0
24.474216,0.003597,0.003306,0.022552,-0.013784,-0.006573,0.000963,0.000000,0.000000,37.454403,0
24.492918,0.004437,0.004063,0.022418,-0.005289,-0.001135,-0.003719,0.000000,0.000000,37.458084,0
24.513320,0.003879,0.004113,0.024149,-0.000006,-0.001834,0.001298,0.000000,0.000000,37.462177,0
24.532965,0.003644,0.003459,0.025636,0.006959,0.004956,0.001558,0.000000,0.000000,37.464531,0
24.553083,0.004207,0.003264,0.026024,-0.007283,-0.007142,0.003733,0.000000,0.000000,37.464417,0
24.576490,0.004072,0.003782,0.027382,0.016407,0.002437,0.000332,0.000000,0.000000,37.462543,0
24.593420,0.003936,0.004061,0.028425,0.001191,0.004039,-0.000955,0.000000,0.000000,37.463039,0
24.613205,0.004348,0.003871,0.028316,-0.003199,-0.008491,-0.004715,0.000000,0.000000,37.465439,0
24.633315,0.004555,0.003926,0.029082,0.001559,-0.001954,-0.005576,0.000000,0.000000,37.467865,0
24.653285,0.004286,0.004384,0.030213,-0.003337,0.004193,0.000808,0.000000,0.000000,37.471077,0
24.674632,0.004385,0.004906,0.030499,0.003087,0.005454,-0.000299,0.000000,0.000000,37.473461,0
24.693432,0.004149,0.004885,0.031059,-0.000645,-0.006100,-0.001127,0.000000,0.000000,37.475445,0
24.713260,0.003828,0.004603,0.032568,0.000173,0.006311,-0.000357,0.000000,0.000000,37.475899,0
24.733094,0.004320,0.004599,0.033362,0.007204,0.006291,-0.000664,0.000000,0.000000,37.475056,0
24.753164,0.005237,0.004905,0.033328,-0.003448,-0.002465,-0.002187,0.000000,0.000000,37.476604,0
24.774422,0.005534,0.005002,0.034208,0.001643,0.001003,-0.004873,0.000000,0.000000,37.479042,0
24.793125,0.005163,0.004801,0.035016,-0.003325,-0.001591,0.000074,0.000000,0.000000,37.481747,0
24.813175,0.004487,0.004923,0.035235,0.005516,0.001026,-0.000776,0.000000,0.000000,37.482128,0
24.833200,0.004217,0.005440,0.035804,0.000948,0.004336,0.005096,0.000000,0.000000,37.479652,0
24.852418,0.005036,0.005644,0.036186,-0.003372,-0.001251,-0.002856,0.000000,0.000000,37.477257,0
24.874521,0.005815,0.005326,0.035660,-0.002800,-0.004126,-0.003183,0.000000,0.000000,37.479958,0
24.893261,0.005322,0.005171,0.035464,0.002618,0.000142,0.001643,0.000000,0.000000,37.482872,0
24.913175,0.004772,0.005583,0.035877,-0.004629,-0.003589,0.001298,0.000000,0.000000,37.480984,0
24.933189,0.004729,0.005966,0.035405,-0.000764,-0.002355,0.004264,0.000000,0.000000,37.478577,0
24.953269,0.004317,0.005697,0.034718,-0.001877,0.000034,0.001162,0.000000,0.000000,37.476780,0
24.975223,0.003944,0.005579,0.034514,0.001433,0.004525,-0.001346,0.000000,0.000000,37.476509,0
24.993628,0.004318,0.005820,0.034034,0.000896,-0.000275,0.004268,0.000000,0.000000,37.477863,0
25.013237,0.004456,0.006341,0.033542,-0.003164,-0.000372,-0.001911,0.000000,0.000000,37.478382,0
25.032942,0.003960,0.006659,0.033697,0.005564,0.000523,0.000065,0.000000,0.000000,37.482903,0
25.052945,0.003753,0.006443,0.033856,-0.002999,0.003156,0.001405,0.000000,0.000000,37.489727,0
25.076096,0.003887,0.006358,0.034127,0.001511,0.000623,0.003339,0.000000,0.000000,37.497028,0
25.093173,0.003962,0.006435,0.035379,0.003434,-0.003477,0.000105,0.000000,0.000000,37.502522,0
25.113127,0.004041,0.006315,0.036979,-0.001232,0.001873,0.000395,0.000000,0.000000,37.506172,0
25.133109,0.004169,0.006050,0.038038,0.001678,-0.004285,-0.003132,0.000000,0.000000,37.507683,0
25.153078,0.003918,0.006097,0.039067,0.003195,0.003379,0.000499,0.000000,0.000000,37.511307,0
25.174506,0.003739,0.006653,0.040224,0.001059,-0.005985,0.000269,0.000000,0.000000,37.517559,0
25.192878,0.003747,0.007197,0.041189,-0.003891,-0.000057,-0.002265,0.000000,0.000000,37.527122,0
25.213161,0.003724,0.007215,0.042920,-0.000335,0.002417,0.004656,0.000000,0.000000,37.530197,0
25.233043,0.003956,0.006938,0.044536,-0.000376,0.002700,0.002605,0.000000,0.000000,37.522511,0
25.253148,0.004274,0.006755,0.045121,-0.000238,-0.000858,-0.004042,0.000000,0.000000,37.517830,0
25.274155,0.004212,0.007047,0.045053,0.000849,-0.002242,-0.006957,0.000000,0.000000,37.517395,0
25.292962,0.004097,0.007395,0.045115,0.001128,0.000814,-0.000485,0.000000,0.000000,37.523155,0
25.312950,0.003730,0.007433,0.045436,0.001789,-0.004420,-0.003742,0.000000,0.000000,37.529366,0
25.332885,0.003560,0.007674,0.046265,-0.001104,-0.001448,-0.001536,0.000000,0.000000,37.536907,0
25.352939,0.003826,0.008141,0.047470,0.000106,0.000799,0.003684,0.000000,0.000000,37.541122,0
25.374176,0.004217,0.008446,0.048831,-0.004038,0.002561,-0.001138,0.000000,0.000000,37.546684,0
25.393034,0.004059,0.008467,0.050254,-0.000352,0.000344,0.003257,0.000000,0.000000,37.551273,0
25.413354,0.003914,0.008498,0.051741,-0.000622,0.000838,0.002321,0.000000,0.000000,37.545605,0
25.432887,0.004045,0.008714,0.052194,0.001539,-0.003145,0.000904,0.000000,0.000000,37.531559,0
25.452955,0.004312,0.008837,0.051701,-0.003814,-0.000259,-0.001182,0.000000,0.000000,37.521751,0
25.476042,0.004286,0.008692,0.050699,0.000398,0.003099,-0.000032,0.000000,0.000000,37.514153,0
25.493184,0.004444,0.008642,0.049087,0.003306,-0.005190,0.001314,0.000000,0.000000,37.510696,0
25.512923,0.004546,0.008898,0.047497,-0.002009,-0.002665,-0.000587,0.000000,0.000000,37.511055,0
25.532937,0.004774,0.009330,0.046151,-0.000685,-0.001620,-0.000237,0.000000,0.000000,37.507870,0
25.553041,0.004844,0.009440,0.044813,0.004000,-0.002834,0.003288,0.000000,0.000000,37.505306,0
25.576367,0.004921,0.009355,0.043333,0.003493,-0.003680,-0.003375,0.000000,0.000000,37.506050,0
25.593141,0.003401,0.006529,0.042018,-0.000932,0.000276,-0.004474,0.000000,0.000000,37.510582,0
25.612952,0.002121,0.004325,0.041144,-0.002852,-0.002138,-0.000920,0.000000,0.000000,37.513641,0
25.633084,0.001487,0.003288,0.040467,0.003346,0.004664,0.001693,0.000000,0.000000,37.516605,0
25.653100,0.001211,0.002440,0.039763,0.000878,0.002881,0.002446,0.000000,0.000000,37.517544,0
25.676044,0.001101,0.001982,0.038852,-0.001569,0.003242,-0.000989,0.000000,0.000000,37.519939,0
25.693435,0.001035,0.001886,0.038203,0.000024,-0.001852,0.001263,0.000000,0.000000,37.522827,0
